,price,size
0,42381.25,0.11802059
1,42381.26,0.11802059
2,42384.21,0.039
3,42384.74,0.15342878
4,42384.8,0.14733073
5,42385.76,0.05
6,42390.51,0.24234274
7,42390.53,0.47291707
8,42390.54,0.15340997
9,42391.56,1.0
10,42391.58,1.0
11,42391.8,0.35381303
12,42396.02,0.03547822
13,42400.1,0.04245129
14,42400.11,0.27855206
15,42401.07,0.59
16,42404.97,0.38749454
17,42404.98,0.03577682
18,42406.33,0.23599769
19,42407.84,0.35405559
20,42409.4,0.42952117
21,42418.58,1.0
22,42422.52,0.47201966
23,42425.21,0.24971994
24,42433.0,8.7691
25,42441.2,0.762
26,42445.07,0.70802989
27,42452.36,1.18
28,42469.65,2.35992904
29,42483.6,1.551
30,42498.24,0.02602514
31,42498.25,2.36073058
32,42502.09,0.06507359
33,42502.1,0.13
34,42528.99,0.36588226
35,42529.01,0.16915627
36,42529.02,2.2
37,42535.95,3.773
38,42557.86,0.50473793
39,42608.81,1.05411287
40,42609.09,7.614
41,42653.63,16.331
42,42742.3,1.224
43,42763.08,0.79999995
44,42801.0,0.00061027
45,42819.38,16.666
46,42900.0,0.00149049
47,42901.0,0.00060884
48,42933.0,0.00406
49,42934.0,0.00122
