,price,size
0,42386.28,0.11799371
1,42386.29,0.11800569
2,42390.53,0.47291707
3,42390.54,0.15340997
4,42391.71,0.14706192
5,42396.23,0.23988796
6,42396.24,0.039
7,42397.49,1.0
8,42398.14,0.18879636
9,42398.6,0.35370352
10,42400.11,0.27855206
11,42400.12,0.05
12,42401.32,1.0
13,42404.97,0.38749454
14,42404.98,0.03577682
15,42406.33,0.23599769
16,42409.39,0.04369774
17,42409.4,0.312
18,42411.04,0.59
19,42418.68,1.0
20,42420.35,0.05
21,42420.56,0.47179632
22,42422.52,0.47201966
23,42433.0,8.7691
24,42441.2,0.762
25,42445.07,0.70802989
26,42469.65,2.35992904
27,42474.18,1.18
28,42483.6,1.551
29,42498.24,0.02602514
30,42498.25,2.36073058
31,42502.1,0.13
32,42528.99,0.36588226
33,42529.01,0.23422232
34,42529.02,2.2
35,42535.95,3.773
36,42567.1,1.66
37,42608.81,1.05411287
38,42609.09,7.614
39,42653.63,16.331
40,42742.3,1.224
41,42763.08,0.79999995
42,42801.0,0.00061027
43,42819.38,16.666
44,42900.0,0.00149049
45,42901.0,0.00060884
46,42933.0,0.00406
47,42934.0,0.00122
48,42959.25,0.02280149
49,42985.25,0.001
