,price,size
0,42380.13,0.11803955
1,42380.14,0.11803955
2,42382.31,1.0
3,42383.09,0.48945628
4,42384.7,0.14711862
5,42385.62,0.039
6,42386.74,0.23422878
7,42386.82,1.0
8,42387.77,0.18885107
9,42390.22,0.30069115
10,42391.56,0.18883429
11,42393.19,0.11755139
12,42393.62,0.18870566
13,42394.91,0.05
14,42396.02,0.03534774
15,42398.26,0.03429307
16,42398.27,0.37237608
17,42398.28,0.23606124
18,42404.98,0.03577682
19,42407.6,0.59
20,42409.4,0.312
21,42413.15,0.35401335
22,42418.58,1.0
23,42422.35,0.47200636
24,42422.4,8.5685
25,42434.1,0.19522825
26,42441.2,0.762
27,42444.07,0.17707773
28,42445.07,0.70802989
29,42451.57,1.18
30,42469.64,0.31963483
31,42469.65,2.35992904
32,42483.6,1.551
33,42498.24,0.09112108
34,42498.25,2.36073058
35,42500.49,2.2
36,42502.1,0.13
37,42533.19,0.16922714
38,42535.95,3.773
39,42548.2,1.34
40,42557.86,0.50473793
41,42608.81,1.05411287
42,42609.09,7.614
43,42653.63,16.331
44,42742.3,1.224
45,42763.08,0.79999995
46,42801.0,0.00061027
47,42819.38,16.666
48,42900.0,0.00149049
49,42901.0,0.00060884
