,price,size
0,42391.22,0.11798695
1,42391.23,0.11800092
2,42391.57,0.47515942
3,42392.58,0.24435028
4,42392.71,0.14743951
5,42393.5,1.0
6,42395.49,0.15340111
7,42395.94,0.29395389
8,42396.02,0.03534774
9,42396.32,1.0
10,42400.7,0.18879765
11,42404.97,0.042092
12,42404.98,0.03577682
13,42408.26,0.05
14,42409.39,0.39983057
15,42409.4,0.312
16,42411.81,0.23598389
17,42413.15,0.35401335
18,42418.58,1.11753416
19,42421.1,0.59
20,42422.35,0.47200636
21,42432.8,8.4035
22,42436.98,0.21180659
23,42441.2,0.762
24,42444.07,0.17707773
25,42445.07,0.70802989
26,42469.64,0.31963483
27,42469.65,2.35992904
28,42470.59,1.18
29,42483.6,1.551
30,42498.24,0.02602722
31,42498.25,2.36073058
32,42502.1,0.13
33,42529.0,0.06507266
34,42533.2,0.06507266
35,42533.21,2.2
36,42535.95,3.773
37,42548.2,1.34
38,42557.86,0.50473793
39,42608.81,1.05411287
40,42609.09,7.614
41,42653.63,16.331
42,42742.3,1.224
43,42763.08,0.79999995
44,42801.0,0.00061027
45,42819.38,16.666
46,42900.0,0.00149049
47,42901.0,0.00060884
48,42933.0,0.00406
49,42934.0,0.00122
