,price,size
0,42415.57,0.11790585
1,42417.22,0.46530053
2,42418.57,0.22813481
3,42418.58,0.11807188
4,42420.82,0.14708841
5,42422.27,0.1532849
6,42424.28,1.0
7,42425.59,0.15327423
8,42426.58,0.03610725
9,42428.73,0.29439276
10,42432.88,0.02854734
11,42433.9,0.23583139
12,42436.1,0.312
13,42438.77,0.37020296
14,42438.78,0.35377545
15,42439.91,0.05
16,42447.8,8.6065
17,42452.07,0.47165192
18,42452.71,0.59
19,42466.27,0.70762473
20,42467.9,0.762
21,42472.25,0.19071889
22,42472.48,0.16023241
23,42483.6,1.551
24,42488.02,0.31682706
25,42488.03,1.18
26,42498.25,2.36073058
27,42528.49,0.02601907
28,42528.5,2.35887681
29,42535.94,0.06503263
30,42535.95,3.773
31,42541.37,2.2
32,42557.86,0.50473793
33,42608.81,1.05411287
34,42609.09,7.614
35,42653.63,16.331
36,42742.3,1.224
37,42763.08,0.79999995
38,42801.0,0.00061027
39,42819.38,16.666
40,42900.0,0.00149049
41,42901.0,0.00060884
42,42933.0,0.00406
43,42934.0,0.00122
44,42959.25,0.02280149
45,42985.25,0.001
46,43000.0,0.06226909
47,43001.0,0.00060743
48,43015.0,0.00118543
49,43054.01,0.00933468
