,price,size
0,42391.22,0.11798695
1,42391.57,0.47515942
2,42392.58,0.24435028
3,42392.59,0.11799648
4,42392.71,0.14743951
5,42393.5,1.0
6,42395.94,0.29395389
7,42396.32,1.0
8,42397.9,0.35398711
9,42398.73,0.039
10,42401.32,0.15337591
11,42401.47,0.18879436
12,42404.97,0.042092
13,42404.98,0.03577682
14,42407.33,0.2359918
15,42409.39,0.39983057
16,42409.4,0.312
17,42413.15,0.35401335
18,42422.35,0.47200636
19,42422.49,0.11787814
20,42433.0,8.7691
21,42435.29,0.59
22,42440.17,0.21025427
23,42441.2,0.762
24,42444.07,0.17707773
25,42445.07,0.70802989
26,42469.65,2.35992904
27,42470.59,1.18
28,42483.6,1.551
29,42498.24,0.02602722
30,42498.25,2.36073058
31,42502.1,0.13
32,42528.98,0.06506806
33,42528.99,0.36588226
34,42529.01,0.16915627
35,42533.21,2.2
36,42535.95,3.773
37,42548.2,1.34
38,42557.86,0.50473793
39,42608.81,1.05411287
40,42609.09,7.614
41,42653.63,16.331
42,42742.3,1.224
43,42763.08,0.79999995
44,42801.0,0.00061027
45,42819.38,16.666
46,42900.0,0.00149049
47,42901.0,0.00060884
48,42933.0,0.00406
49,42934.0,0.00122
