,price,size
0,42406.72,0.11792878
1,42412.32,0.14734468
2,42412.48,0.153327
3,42412.62,0.22808592
4,42412.63,1.0
5,42413.36,0.03450474
6,42418.58,0.12329188
7,42421.43,0.77790641
8,42421.44,0.23559554
9,42422.3,0.23590498
10,42424.3,0.312
11,42425.87,0.0306105
12,42425.89,0.35390472
13,42426.58,0.03610725
14,42427.89,0.23586171
15,42427.94,0.37214141
16,42427.95,0.05
17,42437.34,0.47184029
18,42441.2,0.87977541
19,42443.43,0.59
20,42447.8,8.6065
21,42465.75,0.22537917
22,42466.27,0.70762473
23,42472.25,0.19071889
24,42483.6,1.551
25,42488.02,0.31682706
26,42488.03,1.18
27,42498.25,2.36073058
28,42502.1,0.13
29,42528.49,0.09106305
30,42528.5,2.35887681
31,42535.93,0.16912204
32,42535.95,3.773
33,42541.37,2.2
34,42548.2,1.34
35,42557.86,0.50473793
36,42608.81,1.05411287
37,42609.09,7.614
38,42653.63,16.331
39,42742.3,1.224
40,42763.08,0.79999995
41,42801.0,0.00061027
42,42819.38,16.666
43,42900.0,0.00149049
44,42901.0,0.00060884
45,42933.0,0.00406
46,42934.0,0.00122
47,42959.25,0.02280149
48,42985.25,0.001
49,43000.0,0.06226909
