,price,size
0,42412.48,0.153327
1,42412.62,0.22808592
2,42413.46,1.0
3,42416.33,0.15330502
4,42417.24,0.03518481
5,42417.26,0.11790578
6,42418.22,1.0
7,42418.58,0.11807188
8,42419.12,0.15329481
9,42420.18,0.039
10,42420.82,0.14708841
11,42421.43,0.77790641
12,42422.3,0.23590498
13,42424.3,0.312
14,42425.87,0.0306105
15,42426.58,0.03610725
16,42427.89,0.23586171
17,42427.94,0.37214141
18,42428.64,0.11770999
19,42430.12,0.05
20,42437.34,0.47184029
21,42438.47,0.59
22,42438.78,0.35377545
23,42441.2,0.762
24,42447.8,8.6065
25,42465.47,0.23886937
26,42466.27,0.70762473
27,42472.25,0.19071889
28,42483.6,1.551
29,42488.02,0.31682706
30,42488.03,1.18
31,42498.25,2.36073058
32,42501.9,0.41
33,42528.49,0.09106305
34,42528.5,2.35887681
35,42535.95,3.773
36,42541.36,0.16908699
37,42541.37,2.2
38,42557.86,0.50473793
39,42608.81,1.05411287
40,42609.09,7.614
41,42653.63,16.331
42,42742.3,1.224
43,42763.08,0.79999995
44,42801.0,0.00061027
45,42819.38,16.666
46,42900.0,0.00149049
47,42901.0,0.00060884
48,42933.0,0.00406
49,42934.0,0.00122
