,price,size
0,42403.41,0.11794385
1,42404.97,0.24041488
2,42407.02,0.14704125
3,42408.06,1.0
4,42408.28,1.0
5,42409.4,0.312
6,42413.25,0.039
7,42415.81,0.74676545
8,42415.82,0.2359443
9,42418.43,0.03533556
10,42418.57,0.383763
11,42418.58,0.1240347
12,42420.09,0.02833842
13,42422.3,0.23590498
14,42422.4,8.5685
15,42425.89,0.35390472
16,42426.58,0.03610725
17,42437.34,0.47184029
18,42441.2,0.762
19,42443.43,0.59
20,42461.84,0.17505783
21,42465.91,0.23577806
22,42466.27,0.70762473
23,42469.64,0.31963483
24,42483.6,1.551
25,42488.03,1.18
26,42498.25,2.36073058
27,42502.1,0.13
28,42528.5,2.35887681
29,42533.18,0.02601992
30,42535.94,0.09108876
31,42535.95,3.773
32,42541.37,2.2
33,42548.2,1.34
34,42557.86,0.50473793
35,42608.81,1.05411287
36,42609.09,7.614
37,42653.63,16.331
38,42742.3,1.224
39,42763.08,0.79999995
40,42801.0,0.00061027
41,42819.38,16.666
42,42900.0,0.00149049
43,42901.0,0.00060884
44,42933.0,0.00406
45,42934.0,0.00122
46,42959.25,0.02280149
47,42985.25,0.001
48,43000.0,0.06226909
49,43001.0,0.00060743
